MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	3		membrane repolarization			ISO	P05023 	J:164563 	
MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	7		regulation of cardiac muscle cell membrane potential			IGI	A2ASQ1 	J:151007 	
MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	1		regulation of membrane potential	has the participant sperm		IMP	MGI:4941050 	J:169420 	
MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1		membrane repolarization			ISO	P05026 	J:164563 	
MGI:88109	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	11		membrane repolarization			ISO	P14415 	J:164563 	
MGI:107788	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	9		membrane repolarization			ISO	P54709 	J:164563 	
MGI:88110	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	5		regulation of cardiac muscle cell action potential involved in regulation of contraction			ISO	RGD:2174 	J:155856 	
MGI:88110	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	5		regulation of cardiac muscle cell membrane potential			ISO	RGD:2174 	J:155856 	
MGI:107653	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	11		negative regulation of mitochondrial membrane potential			ISO	RGD:61933 	J:155856 	
MGI:1196457	Atpif1	ATPase inhibitory factor 1	4		mitochondrial depolarization			ISO	Q9UII2 	J:164563 	
MGI:104783	Atxn1	ataxin 1	13		excitatory postsynaptic potential	happens in hippocampus CA1,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:2181805 	J:48508 	
MGI:88127	B2m	beta-2 microglobulin	2		regulation of membrane depolarization			ISO	P61769 	J:164563 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of mitochondrial membrane potential			IMP		J:133563 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		positive regulation of excitatory postsynaptic potential			ISO	RGD:619814 	J:155856 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		regulation of mitochondrial membrane potential			ISO	Q16611 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		negative regulation of mitochondrial membrane potential			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7	NOT	regulation of mitochondrial membrane potential			IDA		J:88009 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		regulation of mitochondrial membrane potential			IDA		J:118849 	
MGI:88139	Bcl2l1	BCL2-like 1	2		regulation of mitochondrial membrane potential			ISO	Q07817 	J:164563 	
MGI:2177469	Bco2	beta-carotene oxygenase 2	9		regulation of mitochondrial membrane potential			IMP		J:170742 	
MGI:88145	Bdnf	brain derived neurotrophic factor	2		excitatory postsynaptic potential			ISO	RGD:2202 	J:155856 	
MGI:88145	Bdnf	brain derived neurotrophic factor	2		inhibitory postsynaptic potential			IMP	MGI:2176750 	J:207770 	
MGI:3044626	Begain	brain-enriched guanylate kinase-associated	12		evoked excitatory postsynaptic potential	happens in neuron,happens in substantia gelatinosa		IMP	MGI:5818151 	J:237768 	
MGI:2387588	Best2	bestrophin 2	8		membrane depolarization			IDA		J:127173 	
MGI:108093	Bid	BH3 interacting domain death agonist	6		positive regulation of mitochondrial membrane potential			IMP	MGI:5428930 	J:224442 	
MGI:108092	Bin1	bridging integrator 1	18		negative regulation of ventricular cardiac muscle cell action potential	happens in cardiac muscle cell,regulates a function/process that happens in cardiac muscle cell,happens near inward rectifier potassium channel complex,is a part of negative regulation of potassium ion transmembrane transport		IMP		J:213224 	
MGI:109326	Bnip3	BCL2/adenovirus E1B interacting protein 3	7		negative regulation of membrane potential			ISO	Q12983 	J:164563 	
MGI:109326	Bnip3	BCL2/adenovirus E1B interacting protein 3	7		negative regulation of mitochondrial membrane potential			ISO	RGD:620800 	J:155856 	
MGI:1332659	Bnip3l	BCL2/adenovirus E1B interacting protein 3-like	14		negative regulation of mitochondrial membrane potential			ISO	RGD:621354 	J:155856 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		negative regulation of mitochondrial depolarization			IMP		J:235305 	
MGI:1298392	Bscl2	Berardinelli-Seip congenital lipodystrophy 2 (seipin)	19		regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction	happens in neuron of cerebral cortex		IMP		J:193536 	
MGI:1346013	Bves	blood vessel epicardial substance	10		regulation of membrane potential			IBA	PTN000250645 	J:265628 	
MGI:1346013	Bves	blood vessel epicardial substance	10		regulation of membrane potential			IGI	MGI:109366 	J:184566 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in hippocampus CA3,happens in pyramidal neuron		IMP	MGI:1856209 	J:18102 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in dorsal root ganglion,happens in neuron		IMP	MGI:1856210 	J:72853 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		membrane depolarization	happens in cerebellum,happens in Purkinje cell		IMP	MGI:1856211 	J:63634 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in cerebral cortex,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:1856209 	J:60492 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in hippocampus CA1,has the participant pyramidal neuron		IMP	MGI:1856209 	J:3627 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in cerebellum,has the participant Purkinje cell		IMP	MGI:1856209 MGI:1856210 	J:51647 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in cerebellar cortex,has the participant Purkinje cell		IMP	MGI:2181384 	J:107960 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in thalamus,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:1856209 	J:106959 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in hippocampus,has the participant pyramidal neuron		IMP	MGI:1856209 	J:1180 	
MGI:109482	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	8		regulation of membrane potential	happens in cerebellum,has the participant Purkinje cell		IMP	MGI:1856210 	J:47984 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		cardiac muscle cell action potential involved in contraction			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during atrial cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during AV node cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		membrane depolarization during cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:103013	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit	6		regulation of ventricular cardiac muscle cell action potential			ISO	Q13936 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		cardiac muscle cell action potential involved in contraction			ISO	Q01668 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		membrane depolarization during SA node cell action potential	happens in sinoatrial node,happens in cardiac pacemaker cell of sinoatrial node		IMP	MGI:2180141 	J:99822 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		membrane depolarization during SA node cell action potential			ISO	Q01668 	J:164563 	
MGI:88293	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	14		regulation of atrial cardiac muscle cell membrane repolarization			IMP		J:130245 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		action potential			IMP	MGI:3530501 	J:140824 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		AV node cell action potential			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		cardiac muscle cell action potential involved in contraction			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during AV node cell action potential			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		membrane depolarization during SA node cell action potential			IMP		J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		neuronal action potential			IBA	PTN000799039 	J:265628 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		regulation of atrial cardiac muscle cell membrane depolarization	regulates a function/process that happens in sinoatrial node		IMP	MGI:2182962 	J:122634 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		regulation of membrane potential			ISO	O43497 	J:164563 	
MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	11		SA node cell action potential			IMP		J:122634 	
MGI:1928842	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit	17		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:1928842	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit	17		neuronal action potential			IBA	PTN000799039 	J:265628 	
MGI:1928842	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit	17		regulation of membrane potential			ISO	O95180 	J:164563 	
MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	15		membrane depolarization during action potential			IBA	PTN000004140 	J:265628 	
MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	15		neuronal action potential			IBA	PTN000799039 	J:265628 	
MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	15		neuronal action potential	happens in reticular thalamic nucleus,happens in neuron of the forebrain		IMP		J:175607 	
MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	15		regulation of membrane potential			ISO	Q9Z0Y8 	J:73065 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		cardiac muscle cell action potential involved in contraction			ISO	P54289 	J:164563 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		membrane depolarization during bundle of His cell action potential			ISO	P54289 	J:164563 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		regulation of membrane repolarization during action potential			ISO	RGD:2247 	J:155856 	
MGI:88295	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	5		regulation of ventricular cardiac muscle cell membrane repolarization			ISO	P54289 	J:164563 	
MGI:894644	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	2		membrane depolarization during atrial cardiac muscle cell action potential			ISO	Q08289 	J:164563 	
MGI:894644	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	2		membrane depolarization during AV node cell action potential			ISO	Q08289 	J:164563 	
MGI:103307	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	15		positive regulation of excitatory postsynaptic potential			ISO	RGD:2248 	J:155856 	
MGI:103307	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	15		regulation of membrane hyperpolarization			ISO	RGD:2248 	J:155856 	
MGI:103307	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	15		regulation of membrane repolarization during action potential			ISO	RGD:2248 	J:155856 	
MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2		neuronal action potential propagation	has the participant tail,has the participant motor neuron		IMP	MGI:1856936 	J:6556 	
MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2		regulation of membrane potential	has the participant T cell		IMP	MGI:1856936 	J:95687 	
MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2		regulation of membrane potential	happens in thalamus,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:1856936 	J:106959 	
MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	15		membrane depolarization	happens in neocortex		IMP	MGI:1856548 	J:40687 	
MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	15		membrane hyperpolarization	happens in neocortex		IMP	MGI:1856548 	J:40687 	
MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	15		regulation of membrane potential	happens in thalamus,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:1856548 	J:106959 	
MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	3		regulation of cardiac muscle cell action potential			ISO	RGD:2263 	J:155856 	
MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	3		regulation of membrane depolarization			ISO	Q13557 	J:164563 	
MGI:96544	Casp1	caspase 1	9		membrane hyperpolarization			IMP		J:192731 	
MGI:96544	Casp1	caspase 1	9		mitochondrial depolarization			IMP		J:192731 	
MGI:1309469	Casq2	calsequestrin 2	3		regulation of membrane repolarization			IDA		J:186034 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		membrane depolarization	happens in cerebral artery,happens in smooth muscle cell		IMP	MGI:2180364 	J:120603 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		regulation of membrane repolarization during action potential			ISO	Q03135 	J:164563 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		regulation of ventricular cardiac muscle cell action potential			IMP		J:215922 	
MGI:107570	Cav3	caveolin 3	6		negative regulation of membrane depolarization during cardiac muscle cell action potential	happens in regular ventricular cardiac myocyte,happens in UBERON:0007221		IMP		J:217301 	
MGI:107570	Cav3	caveolin 3	6		regulation of cardiac muscle cell action potential involved in regulation of contraction			ISO	P56539 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		regulation of membrane depolarization during cardiac muscle cell action potential			IBA	PTN000090184 	J:265628 	
MGI:107570	Cav3	caveolin 3	6		regulation of membrane depolarization during cardiac muscle cell action potential			ISO	P56539 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		regulation of membrane potential			IBA	PTN002586182 	J:265628 	
MGI:107570	Cav3	caveolin 3	6		regulation of membrane potential			IGI	MGI:107231 MGI:96662 	J:95586 	
MGI:107570	Cav3	caveolin 3	6		regulation of membrane potential			ISO	P56539 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		regulation of ventricular cardiac muscle cell membrane depolarization			ISO	P56539 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		regulation of ventricular cardiac muscle cell membrane repolarization			ISO	P56539 	J:164563 	
MGI:107570	Cav3	caveolin 3	6		ventricular cardiac muscle cell action potential			ISO	RGD:2281 	J:155856 	
MGI:88281	Cbln1	cerebellin 1 precursor protein	8		negative regulation of excitatory postsynaptic potential			ISO	P23435 	J:164563 	
MGI:88297	Cck	cholecystokinin	9		positive regulation of mitochondrial depolarization			ISO	RGD:2288 	J:155856 	
MGI:2685581	Ccn6	cellular communication network factor 6	10		regulation of mitochondrial membrane potential			ISO	O95389 	J:164563 	
MGI:107899	Cd36	CD36 molecule	5		regulation of action potential	happens in hippocampal pyramidal neuron		IMP		J:255338 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5		excitatory postsynaptic potential			IMP	MGI:3720892 MGI:3720937 	J:124046 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5		regulation of postsynaptic membrane potential	regulates a function/process that happens in diaphragm,regulates a function/process that happens in cell of skeletal muscle		IMP	MGI:1861809 	J:102479 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		mitochondrial depolarization			ISO	Q8N726 	J:164563 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		negative regulation of excitatory postsynaptic potential	regulates a function/process that happens in cerebral cortex,regulates a function/process that happens in pyramidal neuron		IMP	MGI:5425630 	J:181678 	
MGI:88388	Cftr	cystic fibrosis transmembrane conductance regulator	6		membrane hyperpolarization			IMP		J:185780 	
MGI:88388	Cftr	cystic fibrosis transmembrane conductance regulator	6	NOT	regulation of membrane depolarization			IMP		J:221546 	
MGI:2143558	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10	10		stabilization of membrane potential	happens near mitochondrion		IMP		J:250353 	
MGI:87885	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	2		neuronal action potential			ISO	P02708 	J:164563 	
MGI:87885	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	2		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:87885	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	2		regulation of membrane potential			IGI	MGI:87890 MGI:87893 MGI:87894 MGI:87895 	J:19812 	
MGI:87885	Chrna1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)	2		regulation of membrane potential			ISO	P02708 	J:73065 	
MGI:87886	Chrna2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	14		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:87887	Chrna3	cholinergic receptor, nicotinic, alpha polypeptide 3	9		excitatory postsynaptic potential	happens in sympathetic nervous system,regulates a function/process that happens in neuron		IMP	MGI:2155602 	J:101059 	
MGI:87887	Chrna3	cholinergic receptor, nicotinic, alpha polypeptide 3	9		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:87887	Chrna3	cholinergic receptor, nicotinic, alpha polypeptide 3	9		regulation of membrane potential	happens in superior cervical ganglion,has the participant neuron|happens in parasympathetic nerve,has the participant neuron		IMP	MGI:2155602 	J:54994 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		action potential	happens in thalamus,regulates a function/process that happens in CNS neuron (sensu Vertebrata)|happens in raphe magnus nucleus,regulates a function/process that happens in serotonergic neuron		IMP	MGI:1926251 	J:54505 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		inhibitory postsynaptic potential	happens in cortical layer II,happens in pyramidal neuron|happens in cortical layer III,happens in pyramidal neuron		IMP	MGI:3700204 MGI:3700205 	J:118273 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		membrane depolarization			IGI	MGI:87891 	J:99085 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		membrane depolarization	happens in midbrain,happens in dopaminergic neuron|happens in midbrain,happens in GABAergic neuron		IMP	MGI:1926251 	J:109365 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		membrane depolarization	happens in corpus striatum,happens in dopaminergic neuron		IMP	MGI:1926251 	J:85306 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		membrane depolarization	happens in midbrain,happens in dopaminergic neuron		IMP	MGI:2158758 	J:67863 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		regulation of acetylcholine-gated cation channel activity			ISO	RGD:2346 	J:155856 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		regulation of membrane potential			IGI	MGI:87891 	J:94804 	
MGI:87889	Chrna5	cholinergic receptor, nicotinic, alpha polypeptide 5	9		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:106213	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6	8		membrane depolarization	happens in corpus striatum,happens in dopaminergic neuron		IMP	MGI:2179133 	J:85306 	
MGI:106213	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6	8		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		modulation of excitatory postsynaptic potential	happens in hippocampus CA1,happens at the same time as UBERON:0018241		IDA		J:168638 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		modulation of excitatory postsynaptic potential	happens in hippocampus CA1,happens at the same time as UBERON:0018241		IGI	P05067 	J:168638 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		neuronal action potential			ISO	RGD:2348 	J:155856 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		positive regulation of excitatory postsynaptic potential	happens in hippocampal formation,is a part of response to amyloid-beta		IGI	CPX-1134 P05067 	J:239203 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		regulation of membrane potential	happens in hippocampus,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:1888407 	J:44288 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		regulation of membrane potential	happens in hippocampus,has the participant CNS neuron (sensu Vertebrata)		IMP	MGI:2155604 	J:61536 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		regulation of membrane potential			ISO	Q05941 	J:73065 	
MGI:1202403	Chrna9	cholinergic receptor, nicotinic, alpha polypeptide 9	5		regulation of membrane potential			IBA	PTN000434994 	J:265628 	
